#Col 1: dimension K: 2
#Col 2: specified s: 1
#Col 3: min n: 50000
#Col 4: max n50000
#Col 5: pas n1
#Col 7: n of trees500

K,s,n,q0,cost
2,1,50000,0.02,340
2,1,50000,0.02,640
2,1,50000,0.02,457
2,1,50000,0.02,458
2,1,50000,0.02,406
2,1,50000,0.02,344
2,1,50000,0.02,439
2,1,50000,0.02,507
2,1,50000,0.02,181
2,1,50000,0.02,390
2,1,50000,0.02,390
2,1,50000,0.02,505
2,1,50000,0.02,184
2,1,50000,0.02,183
2,1,50000,0.02,306
2,1,50000,0.02,348
2,1,50000,0.02,340
2,1,50000,0.02,278
2,1,50000,0.02,573
2,1,50000,0.02,336
2,1,50000,0.02,331
2,1,50000,0.02,310
2,1,50000,0.02,245
2,1,50000,0.02,254
2,1,50000,0.02,336
2,1,50000,0.02,407
2,1,50000,0.02,184
2,1,50000,0.02,276
2,1,50000,0.02,459
2,1,50000,0.02,669
2,1,50000,0.02,355
2,1,50000,0.02,576
2,1,50000,0.02,338
2,1,50000,0.02,210
2,1,50000,0.02,230
2,1,50000,0.02,416
2,1,50000,0.02,599
2,1,50000,0.02,823
2,1,50000,0.02,447
2,1,50000,0.02,221
2,1,50000,0.02,608
2,1,50000,0.02,550
2,1,50000,0.02,637
2,1,50000,0.02,199
2,1,50000,0.02,272
2,1,50000,0.02,202
2,1,50000,0.02,452
2,1,50000,0.02,443
2,1,50000,0.02,431
2,1,50000,0.02,469
2,1,50000,0.02,315
2,1,50000,0.02,142
2,1,50000,0.02,606
2,1,50000,0.02,558
2,1,50000,0.02,455
2,1,50000,0.02,253
2,1,50000,0.02,380
2,1,50000,0.02,221
2,1,50000,0.02,561
2,1,50000,0.02,384
2,1,50000,0.02,640
2,1,50000,0.02,310
2,1,50000,0.02,505
2,1,50000,0.02,625
2,1,50000,0.02,304
2,1,50000,0.02,336
2,1,50000,0.02,446
2,1,50000,0.02,471
2,1,50000,0.02,307
2,1,50000,0.02,269
2,1,50000,0.02,380
2,1,50000,0.02,314
2,1,50000,0.02,637
2,1,50000,0.02,451
2,1,50000,0.02,481
2,1,50000,0.02,303
2,1,50000,0.02,237
2,1,50000,0.02,502
2,1,50000,0.02,335
2,1,50000,0.02,356
2,1,50000,0.02,361
2,1,50000,0.02,74
2,1,50000,0.02,545
2,1,50000,0.02,583
2,1,50000,0.02,313
2,1,50000,0.02,478
2,1,50000,0.02,283
2,1,50000,0.02,319
2,1,50000,0.02,512
2,1,50000,0.02,431
2,1,50000,0.02,254
2,1,50000,0.02,464
2,1,50000,0.02,424
2,1,50000,0.02,59
2,1,50000,0.02,212
2,1,50000,0.02,524
2,1,50000,0.02,515
2,1,50000,0.02,441
2,1,50000,0.02,744
2,1,50000,0.02,813
2,1,50000,0.02,403
2,1,50000,0.02,261
2,1,50000,0.02,261
2,1,50000,0.02,332
2,1,50000,0.02,305
2,1,50000,0.02,222
2,1,50000,0.02,508
2,1,50000,0.02,395
2,1,50000,0.02,146
2,1,50000,0.02,346
2,1,50000,0.02,457
2,1,50000,0.02,616
2,1,50000,0.02,535
2,1,50000,0.02,442
2,1,50000,0.02,352
2,1,50000,0.02,384
2,1,50000,0.02,271
2,1,50000,0.02,511
2,1,50000,0.02,457
2,1,50000,0.02,464
2,1,50000,0.02,338
2,1,50000,0.02,691
2,1,50000,0.02,228
2,1,50000,0.02,208
2,1,50000,0.02,330
2,1,50000,0.02,364
2,1,50000,0.02,349
2,1,50000,0.02,254
2,1,50000,0.02,517
2,1,50000,0.02,735
2,1,50000,0.02,165
2,1,50000,0.02,217
2,1,50000,0.02,753
2,1,50000,0.02,520
2,1,50000,0.02,250
2,1,50000,0.02,251
2,1,50000,0.02,335
2,1,50000,0.02,511
2,1,50000,0.02,106
2,1,50000,0.02,525
2,1,50000,0.02,437
2,1,50000,0.02,515
2,1,50000,0.02,251
2,1,50000,0.02,307
2,1,50000,0.02,366
2,1,50000,0.02,433
2,1,50000,0.02,436
2,1,50000,0.02,470
2,1,50000,0.02,499
2,1,50000,0.02,521
2,1,50000,0.02,343
2,1,50000,0.02,314
2,1,50000,0.02,310
2,1,50000,0.02,527
2,1,50000,0.02,599
2,1,50000,0.02,173
2,1,50000,0.02,524
2,1,50000,0.02,409
2,1,50000,0.02,454
2,1,50000,0.02,438
2,1,50000,0.02,280
2,1,50000,0.02,444
2,1,50000,0.02,237
2,1,50000,0.02,512
2,1,50000,0.02,652
2,1,50000,0.02,559
2,1,50000,0.02,413
2,1,50000,0.03,723
2,1,50000,0.03,264
2,1,50000,0.03,268
2,1,50000,0.03,225
2,1,50000,0.03,474
2,1,50000,0.03,399
2,1,50000,0.03,408
2,1,50000,0.03,336
2,1,50000,0.03,612
2,1,50000,0.03,150
2,1,50000,0.03,303
2,1,50000,0.03,328
2,1,50000,0.03,631
2,1,50000,0.03,155
2,1,50000,0.03,484
2,1,50000,0.03,395
2,1,50000,0.03,428
2,1,50000,0.03,562
2,1,50000,0.03,263
2,1,50000,0.03,214
2,1,50000,0.03,551
2,1,50000,0.03,485
2,1,50000,0.03,753
2,1,50000,0.03,429
2,1,50000,0.03,167
2,1,50000,0.03,383
2,1,50000,0.03,864
2,1,50000,0.03,728
2,1,50000,0.03,724
2,1,50000,0.03,259
2,1,50000,0.03,522
2,1,50000,0.03,477
2,1,50000,0.03,334
2,1,50000,0.03,562
2,1,50000,0.03,653
2,1,50000,0.03,506
2,1,50000,0.03,514
2,1,50000,0.03,284
2,1,50000,0.03,291
2,1,50000,0.03,303
2,1,50000,0.03,508
2,1,50000,0.03,359
2,1,50000,0.03,670
2,1,50000,0.03,632
2,1,50000,0.03,203
2,1,50000,0.03,474
2,1,50000,0.03,644
2,1,50000,0.03,463
2,1,50000,0.03,492
2,1,50000,0.03,350
2,1,50000,0.03,631
2,1,50000,0.03,430
2,1,50000,0.03,378
2,1,50000,0.03,199
2,1,50000,0.03,309
2,1,50000,0.03,561
2,1,50000,0.03,632
2,1,50000,0.03,358
2,1,50000,0.03,703
2,1,50000,0.03,344
2,1,50000,0.03,359
2,1,50000,0.03,753
2,1,50000,0.03,509
